,Year,Entity,battery_electric_number,plugin_hybrid_number,full_mild_hybrid_number,petrol_number,diesel_gas_number,co2_per_km
4,2001,France,407.0,0.0,84.0,986491.0,1267750.0,160.0968531
5,2001,Germany,56.00005028,0.0,606.0005441,2185246.962,1155300.037,178.9234762
8,2001,Italy,147.0,0.0,23.0,1557121.0,888028.0,158.4855445
10,2001,Netherlands,13.00071097,0.0,383.0209464,408614.346,121276.6323,173.7460875
14,2001,United Kingdom,29.0,0.0,719.0,2019996.0,437628.0,177.8817179
19,2002,France,233.0,0.0,51.0,793425.0,1351362.0,156.4391553
20,2002,Germany,19.0,0.0,135.0,2016224.0,1235960.0,176.0717963
23,2002,Italy,126.0,0.0,15.0,1323521.0,1012770.0,157.0861475
25,2002,Netherlands,14.00145293,0.0,63.0065382,400517.5618,110149.4302,172.1880896
29,2002,United Kingdom,45.00001756,0.0,339.0001323,1965464.767,596885.2329,174.2901465
34,2003,France,113.0,0.0,36.0,655678.0,1353419.0,154.8082814
35,2003,Germany,17.0,0.0,260.0,1945639.0,1290602.0,176.48252
38,2003,Italy,137.0,0.0,11.0,1170804.0,1106001.0,154.6813084
40,2003,Netherlands,0.0,0.0,19.01088611,378208.5718,110748.4173,177.0191987
44,2003,United Kingdom,2.0,0.0,1079.0,1873592.0,704074.0,172.989303
49,2004,France,460.0,0.0,669.0,619675.0,1392905.0,153.0892857
50,2004,Germany,10.0,0.0,1704.0,1827287.0,1437677.0,174.1544978
53,2004,Italy,42.0,0.0,494.0,950970.0,1338600.0,149.6929614
55,2004,Netherlands,0.0,0.0,1178.449063,363399.8496,119304.7014,172.4693521
59,2004,United Kingdom,0.0,0.0,2462.0,1730715.0,833668.0,172.0146507
64,2005,France,6.0,0.0,2855.0,641022.0,1423906.0,152.370482
65,2005,Germany,18.00002155,0.0,3578.004284,1912265.29,1424846.706,172.1218817
68,2005,Italy,527.0002327,0.0,1109.00049,930688.411,1332336.588,150.0433359
70,2005,Netherlands,2.002246736,0.0,2936.294839,337735.9761,124521.7268,169.6947967
74,2005,United Kingdom,0.0,0.0,5766.0,1538463.0,895022.0,169.3788553
79,2006,France,13.0000065,0.0,6413.003206,565984.2829,1428152.714,149.4601749
80,2006,Germany,3.000002596,0.0,5227.004524,1926088.667,1535170.329,172.2014705
83,2006,Italy,26.0,0.0,2187.0,973691.0,1378237.0,149.1618033
85,2006,Netherlands,1.002545668,0.0,3155.011216,350625.3091,130228.6771,166.5441421
89,2006,United Kingdom,298.0,0.0,8957.0,1437376.0,897776.0,166.6915389
94,2007,France,6.0,0.0,7161.0,528838.0,1528994.0,149.1599688
95,2007,Germany,6.000001907,0.0,7515.002388,1639159.521,1499897.477,169.6375161
98,2007,Italy,21.0,0.0,3440.0,1105058.0,1404453.0,147.5706389
100,2007,Netherlands,2.00884539,0.0,3709.333013,357762.3065,144065.3516,165.0270641
104,2007,United Kingdom,397.0,0.0,15972.0,1423626.0,963628.0,164.1283087
109,2008,France,4.000003902,0.0,8451.008244,454253.4431,1587574.549,140.6343056
110,2008,Germany,5.0,0.0,6152.0,1722202.0,1359930.0,165.8039347
113,2008,Italy,77.0,0.0,3340.0,1068107.0,1102799.0,146.5223531
115,2008,Netherlands,0.0,0.0,11879.83079,361661.5718,126410.5974,157.8228551
119,2008,United Kingdom,179.0,0.0,15385.0,1188689.0,926604.0,158.1411016
124,2009,France,10.00000892,0.0,9833.008768,657106.5859,1575944.405,134.3119022
125,2009,Germany,152.0,0.0,8095.0,2628234.0,1153083.0,155.6187549
128,2009,Italy,44.0,0.0,7561.0,1250274.0,907202.0,141.0942795
130,2009,Netherlands,22.15808445,0.0,16390.93938,292616.6417,78249.26086,148.5294214
134,2009,United Kingdom,55.0,0.0,14645.0,1142349.0,831908.0,150.6458875
139,2010,France,184.0,0.0,9634.0,639025.0,1554298.0,132.0575367
140,2010,Germany,380.000132,0.0,10022.00348,1681641.584,1185746.412,153.2916067
143,2010,Italy,104.0,0.0,4819.0,1056337.0,906116.0,136.1480672
145,2010,Netherlands,121.0035069,0.0,16101.46665,368167.6702,98670.85966,137.5385197
149,2010,United Kingdom,167.0,0.0,22148.0,1067527.0,935192.0,145.7641398
154,2011,France,2654.0,0.0,12805.0,581470.0,1568874.0,128.9464703
155,2011,Germany,2204.004167,0.0,11708.02214,1660602.14,1498958.834,147.4239412
158,2011,Italy,291.0,0.0,5048.0,775104.0,963546.0,130.569547
160,2011,Netherlands,877.0047327,0.0,14887.08034,383148.0677,157004.8473,128.1435678
164,2011,United Kingdom,1102.000569,0.0,23369.01206,929590.4799,983043.5075,139.8220062
169,2012,France,5913.0,0.0,24920.0,471131.0,1358560.0,125.47727
170,2012,Germany,3572.0,0.0,20281.0,1569937.0,1488562.0,142.5809162
173,2012,Italy,601.0,0.0,6481.0,646971.0,742026.0,126.0488437
175,2012,Netherlands,3829.0,0.0,22517.0,332934.0,143261.0,120.3029546
179,2012,United Kingdom,1784.0,0.0,25370.0,973633.0,1039199.0,134.227259
184,2013,France,9159.0,0.0,46310.0,532810.0,1167972.0,117.7149386
185,2013,Germany,7363.187057,0.0,24440.6209,1516550.527,1403902.665,135.3842414
188,2013,Italy,1145.00178,0.0,13966.02171,576497.8961,695107.0804,120.6854856
190,2013,Netherlands,22631.0,0.0,23682.0,267106.0,103605.0,109.3608542
194,2013,United Kingdom,3586.0,0.0,29126.0,1104185.0,1127840.0,128.6607349
199,2014,France,10980.0,1340.0,41104.0,591847.0,1119957.0,114.8043716
200,2014,Germany,9583.003156,3483.001147,22413.00738,1547962.51,1453187.479,131.5071158
203,2014,Italy,1237.000902,271.0001977,20981.0153,591041.4311,757421.5525,118.2341456
205,2014,Netherlands,3380.061008,11856.214,14499.2617,252976.5661,105112.8972,107.9843627
209,2014,United Kingdom,8067.0,6550.0,37188.0,1184054.0,1240576.0,124.8603547
214,2015,France,17771.0,4604.0,41718.0,737645.0,1083830.0,111.1105197
215,2015,Germany,12428.0,11142.0,17846.0,1621389.0,1543114.0,127.2171798
218,2015,Italy,1461.0,894.0,25223.0,675769.0,880269.0,115.8686053
220,2015,Netherlands,3532.0,40329.0,15034.0,261104.0,132389.0,101.8555318
224,2015,United Kingdom,10054.0,18395.0,44181.0,1283755.0,1277118.0,121.3842634
229,2016,France,21553.0,7689.0,46918.0,876159.0,1031410.0,110.185629
230,2016,Germany,11457.08204,13762.09855,32756.23457,1752504.55,1540989.035,125.3741058
233,2016,Italy,1373.0,1371.0,36346.0,749022.0,1056068.0,113.1701109
235,2016,Netherlands,3781.0,18947.0,11012.0,277675.0,73283.0,108.2781237
239,2016,United Kingdom,10276.0,28694.0,49872.0,1317705.0,1286239.0,119.8453904
244,2017,France,24967.13011,11868.06185,64005.33354,1011050.269,998972.2058,110.6289129
245,2017,Germany,25138.67209,29488.7884,47709.27553,2001939.523,1336845.741,126.2480381
248,2017,Italy,1961.037701,2845.054696,59054.13531,794731.2786,1118009.494,112.5808198
250,2017,Netherlands,7539.0,1636.0,17677.0,317262.0,73951.0,109.4839214
254,2017,United Kingdom,13576.0,35030.0,68304.0,1358521.0,1065186.0,120.9384434
259,2018,France,31095.01431,13380.00616,84154.03872,1198925.552,846023.3892,111.3729646
260,2018,Germany,36150.86247,29916.54128,81139.18024,2175797.096,1112597.32,127.6430847
263,2018,Italy,4990.002603,4632.002417,73622.03841,848400.4426,985060.5139,114.2532877
265,2018,Netherlands,23843.0,3286.0,21239.0,338086.0,57076.0,106.7039954
269,2018,United Kingdom,14944.0,40410.0,93409.0,1472695.0,745689.0,126.6003523
274,2019,France,42829.0,18442.0,95273.0,1283191.0,768825.0,111.8351428
275,2019,Germany,63460.99377,44639.8093,155461.7836,2120699.413,1222769.0,130.1603501
278,2019,Italy,10681.0222,6489.01349,94981.19745,1022634.767,789372.0,118.7528439
280,2019,Netherlands,62056.0,5315.0,27707.0,317265.0,33771.0,98.74799167
284,2019,United Kingdom,37850.0,34758.0,155276.0,1467637.0,615619.0,127.4799297
